userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer
Lagerstroemia indica,Lagerstroemia indica,NA,NA,NA,NA,NA,NA,NA
Cleyera spp.,Cleyera,NA,NA,NA,NA,NA,NA,NA
Thuja spp.,Thuja,NA,NA,NA,NA,NA,NA,NA
