userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer
Common blue-beard,Caryopteris,NA,NA,NA,NA,NA,NA,NA
Blue cedar,Cedrus libani,NA,NA,NA,NA,NA,NA,NA
