userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer,compoundLeaves,longLeafThreshold
Fagus sylvatica,Fagus sylvatica,Fagus sylvatica,Fagus,Fagaceae,502590,species,,0,NA,NA
Japanese knotweed,Japanese knotweed,Fallopia japonica,Fallopia,Polygonaceae,565897,species,,0,NA,NA
Speckled japanese aralla,Speckled japanese aralla,Fatsia japonica,Fatsia,Araliaceae,505935,species,,0,NA,NA
Ficus,Ficus,Ficus,Ficus,Moraceae,19081,genus,,0,NA,NA
Fig,Fig,Ficus,Ficus,Moraceae,19081,genus,,0,NA,NA
Florida forestiera,Florida forestiera,Forestiera segregata,Forestiera,Oleaceae,32959,species,,0,NA,NA
Forsythia,Forsythia,Forsythia,Forsythia,Oleaceae,32961,genus,,0,NA,NA
Ash,Ash,Fraxinus,Fraxinus,Oleaceae,32928,genus,,0,NA,NA
White ash,White ash,Fraxinus americana,Fraxinus,Oleaceae,32931,species,,0,1,NA
Carolina ash,Carolina ash,Fraxinus caroliniana,Fraxinus,Oleaceae,32941,species,,0,1,NA
Black ash,Black ash,Fraxinus nigra,Fraxinus,Oleaceae,32945,species,,0,1,NA
Green ash,Green ash,Fraxinus pennsylvanica,Fraxinus,Oleaceae,32929,species,,0,1,NA
Gardenia,Gardenia,Gardenia,Gardenia,Rubiaceae,35159,genus,,0,NA,NA
Huckleberry,Huckleberry,Gaylussacia,Gaylussacia,Ericaceae,23659,genus,,0,NA,NA
Gaylussacia baccata,Gaylussacia baccata,Gaylussacia baccata,Gaylussacia,Ericaceae,23660,species,,0,NA,NA
Ginkgo,Ginkgo,Ginkgo,Ginkgo,Ginkgoaceae,183264,genus,,0,NA,NA
Honeylocust,Honeylocust,Gleditsia,Gleditsia,Fabaceae,26711,genus,,0,NA,NA
Carolina silverbell,Carolina silverbell,Halesia carolina,Halesia,Styracaceae,23864,species,,0,NA,NA
Halesia tetraptera,Halesia tetraptera,Halesia tetraptera,Halesia,NA,502868,species,,0,NA,NA
Witch hazel,Witch hazel,Hamamelis virginiana,Hamamelis,Hamamelidaceae,19033,species,,0,NA,NA
witch-hazel,witch-hazel,Hamamelis virginiana,Hamamelis,Hamamelidaceae,19033,species,,0,NA,NA
Hamamelis virginiana,Hamamelis virginiana,Hamamelis virginiana,Hamamelis,Hamamelidaceae,19033,species,,0,NA,NA
Ozark witch hazel,Ozark witch hazel,Hamamelis vernalis,Hamamelis,Hamamelidaceae,19032,species,,0,NA,NA
Rose of sharon,Rose of sharon,Hibiscus syriacus,Hibiscus,Malvaceae,21638,species,,0,NA,NA
Raisin,Raisin,Hovenia dulcis,Hovenia,Rhamnaceae,28554,species,,0,NA,NA
Hydrangea,Hydrangea,Hydrangea,Hydrangea,Hydrangeaceae,24194,genus,,0,NA,NA
Hydrangea quercifolia,Hydrangea quercifolia,Hydrangea quercifolia,Hydrangea,Hydrangeaceae,24200,species,,0,NA,NA
Oakleaf hydrangea,Oakleaf hydrangea,Hydrangea quercifolia,Hydrangea,Hydrangeaceae,24200,species,,0,NA,NA
Possumhaw,Possumhaw,Ilex decidua,Ilex,Aquifoliaceae,27998,species,,0,NA,NA
Ilex glabra,Ilex glabra,Ilex glabra,Ilex,Aquifoliaceae,27981,species,,0,NA,NA
Mountain holly,Mountain holly,Ilex montana,Ilex,Aquifoliaceae,28002,species,,0,NA,NA
Mountain winterberry,Mountain winterberry,Ilex montana,Ilex,Aquifoliaceae,28002,species,,0,NA,NA
Catberry,Catberry,Ilex mucronata,Ilex,Aquifoliaceae,835359,species,,0,NA,NA
American holly,American holly,Ilex opaca,Ilex,Aquifoliaceae,27982,species,,0,NA,NA
Ilex verticillata,Ilex verticillata,Ilex verticillata,Ilex,Aquifoliaceae,27985,species,,0,NA,NA
Winterberry,Winterberry,Ilex verticillata,Ilex,Aquifoliaceae,27985,species,,0,NA,NA
Ilex vomitoria,Ilex vomitoria,Ilex vomitoria,Ilex,Aquifoliaceae,27986,species,,0,NA,NA
Itea virginica,Itea virginica,Itea virginica,Itea,Iteaceae,24202,species,,0,NA,NA
Virginia sweetspire,Virginia sweetspire,Itea virginica,Itea,Iteaceae,24202,species,,0,NA,NA
