userPlantName,cleanedPlantName,sciName,genus,Family,itis_id,rank,notes,isConifer,compoundLeaves,longLeafThreshold
Tropical milkweed,Asclepias curassavica,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common vervain,Verbena officinalis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purple vervain,Verbena bonariensis,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon grape,Berberis aquifolium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Incense-cedar,Calocedrus decurrens,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alderleaf mountain mahogany,Cercocarpus montanus,NA,NA,NA,NA,NA,NA,NA,NA,NA
