"userPlantName"
"Na"
"Inkberry"
"Thorny olive"
"Hemlock"
"White pine"
"Tropical milkweed"
"Citrus spp."
"Boston fern"
"Common vervain"
"Purple vervain"
"Common blue-beard"
"Coffea canephora"
"Pacific dogwood"
"Florida anise"
"Black tupelo"
"Ponderosa pine"
"Oregon grape"
"Incense-cedar"
"Alderleaf mountain mahogany"
"Colorado pinyon"
"Populus tremuloides"
"Thuja occidentalis"
"Sambucus spp."
"Prunus serotina"
"Quercus falcata"
"Sassafras albidum"
"Liquidambar styraciflua"
"Nyssa sylvatica"
"Acer rubrum"
"Vaccinium stamineum"
"Ilex opaca"
"Quercus rubra"
"Quercus alba"
"Hemlock spp."
"Salix amygdaloides"
"Blue cedar"
"Chittamwood"
"Juniperus virginiana"
"Ligustrum japonicum"
"Quercus shumardii"
"Elaeagnus angustifolia"
"Magnolia grandiflora"
"Two-wing silverbell"
"Katsura"
