ID,Name,Processing,Iteration,UTCLastCalled
4,SciStarterCollectionSubmission,0,0,"2023-08-21 00:00:03"
5,iNaturalistSurveySubmission,0,0,"2023-08-21 00:00:04"
6,iNaturalistIdentificationFetch,1,0,"2023-08-14 10:00:04"
