ID,Citation,DOI,URL
1,"Hurlbert, AH, TE Hayes, TN McKinnon, and CL Goforth. 2019. Caterpillars Count! A citizen science project for monitoring foliage arthropod abundance and phenology. Citizen Science: Theory and Practice 4: 1-12.",DOI: 10.5334/cstp.148,https://theoryandpractice.citizenscienceassociation.org/articles/10.5334/cstp.148
2,"Di Cecco, GJ and AH Hurlbert. 2022. Caterpillar patterns in space and time: insights from and contrasts between two citizen science datasets. In Caterpillars in the Middle, RJ Marquis and S Koptur (eds.). Springer Nature. ",https://doi.org/10.1007/978-3-030-86688-4_17,https://caterpillarscount.unc.edu/pdfs/Di%20Cecco%20and%20Hurlbert%202022%20book%20chapter.pdf
3,"Di Cecco, GJ, MW Belitz, RJ Cooper, EA Larsen, WB Lewis, L Ries, RP Guralnick, and AH Hurlbert. 2022. Phenology in adult and larva Lepidoptera from structured and unstructured surveys across eastern North America. Frontiers of Biogeography 14: e56346.",doi:10.21425/F5FBG56346,https://escholarship.org/content/qt3mf9t3d9/qt3mf9t3d9_noSplash_3554a50bc8ce4ba6ccc0822e23dd640b.pdf?t=re8tvl
4,"Roper-Edwards, I and AH Hurlbert. 2024. Arthropod community composition in urban landscapes is shaped by both environmental filtering and dispersal limitation. PLoS ONE 19(8): e0297507. https://doi.org/10.1371/journal.pone.0297507",https://doi.org/10.1371/journal.pone.0297507,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0297507
5,"Persche, ME, HSSC Sagar, AM Pidgeon. 2025. Influence of woodland management within interior forests on foliage arthropods and avian insectivores. Avian Conservation and Ecology 20: 20. ",https://doi.org/10.5751/ACE-02858-200120,https://ace-eco.org/vol20/iss1/art20/
6,"Persche, ME, MJ Mossman, and AM Pidgeon. 2025. Cascading effects of oak woodland management: Higher arthropod biomass, avian richness, and abundance. Forest Ecology and Management 594: 122957.",https://doi.org/10.1016/j.foreco.2025.122957,https://www.sciencedirect.com/science/article/abs/pii/S0378112725004657
7,"Whitener, C and AH Hurlbert. In prep. Arthropods on native versus alien woody plants: understanding variation across host plant taxonomy and geography",,
8,"Weaver, E and AH Hurlbert. In prep. Quantifying sources of error in a biodiversity monitoring citizen science project",,
