ID,UserFKOfManager,SiteFK,HasCompleteAuthority,Status
19,80,67,0,Approved
21,760,67,0,Approved
26,839,67,0,Approved
27,790,67,0,Approved
29,852,96,1,Approved
31,908,104,0,Approved
71,25,2,1,Approved
73,1288,160,0,Approved
74,1989,88,0,Approved
75,1990,167,0,Approved
76,2022,71,0,Approved
86,2047,55,1,Approved
87,2050,166,0,Approved
88,2051,166,0,Approved
90,501,66,0,Approved
92,1958,101,1,Approved
93,944,73,0,Approved
94,2166,182,0,Approved
98,26,77,0,Approved
99,920,89,0,Approved
102,2608,199,1,Pending
103,2622,199,1,Approved
107,2637,216,0,Approved
109,2668,213,0,Approved
110,2808,245,1,Approved
111,2770,96,0,Approved
112,2812,249,0,Approved
113,2635,194,0,Approved
114,2793,259,0,Approved
118,2871,267,1,Approved
119,2872,267,1,Approved
120,2883,271,1,Approved
121,2893,273,0,Approved
122,2894,273,0,Approved
123,2669,273,1,Approved
124,2848,213,0,Pending
125,2899,199,0,Approved
126,2892,267,1,Approved
127,2868,267,1,Approved
128,26,52,0,Approved
129,2669,274,0,Approved
130,2669,277,1,Approved
131,2635,257,0,Approved
132,2669,278,1,Approved
133,2732,52,0,Approved
134,2732,51,0,Approved
135,1572,179,0,Approved
139,2832,60,1,Approved
140,3136,296,1,Approved
141,3137,296,1,Approved
142,3138,296,1,Approved
143,2815,297,1,Approved
144,3153,245,0,Approved
145,3160,301,0,Approved
146,2832,68,0,Approved
147,3166,57,1,Approved
148,3172,305,0,Approved
149,3179,167,1,Approved
150,2669,309,1,Approved
151,3198,308,0,Approved
152,3199,162,1,Approved
153,3199,188,1,Approved
154,2925,267,1,Approved
155,3196,267,1,Approved
156,3163,267,1,Approved
157,3131,225,1,Approved
158,3208,310,0,Approved
159,3207,267,1,Approved
162,3216,317,1,Approved
163,3220,249,0,Approved
171,3233,197,0,Approved
172,3233,303,0,Approved
176,2669,325,1,Approved
177,3296,325,0,Approved
178,3176,325,0,Approved
179,2669,327,1,Approved
180,3341,329,0,Approved
185,3373,273,0,Approved
187,3551,328,0,Approved
188,3563,225,1,Approved
189,3563,295,1,Approved
190,3563,278,1,Approved
191,3563,325,1,Approved
192,3563,327,1,Approved
193,3563,277,1,Approved
194,3563,273,1,Approved
195,3573,96,0,Approved
196,3567,245,0,Approved
197,2669,337,1,Approved
198,3563,337,0,Approved
199,3563,339,1,Approved
200,3131,339,1,Approved
201,2893,339,1,Approved
202,3563,342,1,Approved
203,3623,339,1,Approved
204,3594,342,1,Approved
205,3631,71,0,Approved
206,3631,69,0,Approved
207,3631,70,0,Approved
208,3631,72,0,Approved
209,3652,337,0,Approved
210,3653,337,1,Approved
211,2815,257,0,Approved
212,3659,93,1,Approved
213,3594,337,1,Approved
220,3653,327,1,Approved
221,2669,354,1,Approved
222,3563,354,1,Approved
223,3683,317,0,Approved
224,3701,361,1,Approved
231,3566,365,0,Approved
232,3566,366,0,Approved
234,3653,225,0,Approved
235,3721,225,1,Approved
236,3721,327,0,Approved
237,3721,337,0,Approved
238,3721,339,1,Approved
239,3566,369,0,Approved
240,3566,368,0,Approved
241,3566,370,0,Approved
242,3653,339,1,Approved
243,3594,339,0,Approved
245,3700,344,0,Approved
246,3727,361,1,Approved
247,3700,359,0,Approved
248,3700,353,0,Approved
249,3700,357,0,Approved
250,3700,358,0,Approved
251,3700,372,0,Approved
252,3566,373,0,Approved
256,3566,383,0,Approved
257,3566,384,0,Approved
258,2669,376,1,Approved
260,497,81,1,Approved
261,3969,331,0,Approved
262,3969,95,0,Approved
263,3969,226,0,Approved
264,3992,393,0,Approved
265,2669,395,1,Approved
267,2635,329,0,Approved
268,4041,245,1,Approved
270,3991,267,1,Approved
271,2828,297,0,Approved
272,3623,395,1,Approved
273,4063,267,1,Approved
274,3661,60,0,Approved
275,4036,60,0,Approved
276,4035,60,0,Approved
277,4062,60,0,Approved
278,4036,310,0,Approved
279,4035,310,0,Approved
280,4062,310,0,Approved
281,3661,310,0,Approved
282,4036,78,0,Approved
283,4035,78,0,Approved
284,4062,78,0,Approved
285,3661,78,0,Approved
286,4036,77,0,Approved
287,4035,77,0,Approved
288,4062,77,0,Approved
289,3661,77,0,Approved
290,4036,197,0,Approved
291,4062,197,0,Approved
292,4035,197,0,Approved
293,3661,197,0,Approved
294,26,310,0,Approved
295,26,197,0,Approved
296,4053,420,0,Approved
297,4053,380,0,Approved
298,4073,419,1,Approved
299,4075,421,1,Approved
300,4078,421,0,Approved
301,4080,422,1,Approved
302,4092,395,0,Approved
303,4091,395,0,Approved
304,4093,395,0,Approved
308,4106,361,1,Approved
309,3375,332,0,Approved
310,4120,395,0,Approved
311,4125,427,1,Approved
312,3653,428,1,Approved
314,4132,337,0,Approved
315,4119,332,0,Approved
316,4130,332,0,Approved
317,4160,179,1,Approved
318,3653,376,1,Approved
319,4178,376,0,Approved
