ID,Name,Processing,Iteration,UTCLastCalled
4,SciStarterCollectionSubmission,1,0,"2021-06-22 00:00:10"
5,iNaturalistSurveySubmission,0,0,"2021-06-22 00:00:09"
6,iNaturalistIdentificationFetch,0,0,"2021-06-21 07:54:10"
