ID,Name,Processing,Iteration,UTCLastCalled
4,SciStarterCollectionSubmission,0,0,"2022-09-19 00:00:04"
5,iNaturalistSurveySubmission,0,0,"2022-09-19 00:00:04"
6,iNaturalistIdentificationFetch,1,0,"2022-09-12 10:00:05"
